¦¤resilience(unit:%),,,,,Recovery time(unit:month),,,,
Freq_Class,Area_Class,Mean,CI_lower,CI_upper,Freq_Class,Area_Class,Mean,CI_lower,CI_upper
1 Fire,0¡ª50 ha,-3.864760039,-3.945961348,-3.783558731,1 Fire,0¡ª50 ha,11.76798351,11.27484348,12.26112354
1 Fire,50¡ª100 ha,-5.27322637,-5.512865404,-5.033587337,1 Fire,50¡ª100 ha,17.38458766,15.66468413,19.1044912
1 Fire,100¡ª20 ha,-9.377244841,-9.771402138,-8.983087544,1 Fire,100¡ª20 ha,23.90183964,20.64679871,27.15688056
1 Fire,>200 ha,-13.77332575,-15.06449227,-12.48215922,1 Fire,>200 ha,45.43140365,29.76991924,61.09288806
2-3 Fires,0¡ª50 ha,-2.581247518,-2.632704489,-2.529790548,2-3 Fires,0¡ª50 ha,10.81783097,10.49791901,11.13774294
2-3 Fires,50¡ª100 ha,-2.538651695,-2.613546556,-2.463756833,2-3 Fires,50¡ª100 ha,14.47540879,13.93499098,15.01582661
2-3 Fires,100¡ª20 ha,-3.39009199,-3.486084423,-3.294099557,2-3 Fires,100¡ª20 ha,21.09988459,20.25226979,21.94749939
2-3 Fires,>200 ha,-5.422407888,-5.787589036,-5.05722674,2-3 Fires,>200 ha,30.55638271,26.40990662,34.7028588
4-5 Fires,0¡ª50 ha,-1.824604136,-1.91620087,-1.733007403,4-5 Fires,0¡ª50 ha,6.707759997,6.282463737,7.133056256
4-5 Fires,50¡ª100 ha,-1.066246386,-1.151468821,-0.98102395,4-5 Fires,50¡ª100 ha,7.174963993,6.771064207,7.578863779
4-5 Fires,100¡ª20 ha,-1.043815956,-1.110759387,-0.976872526,4-5 Fires,100¡ª20 ha,9.781916139,9.386794195,10.17703808
4-5 Fires,>200 ha,-1.874395077,-2.051097787,-1.697692367,4-5 Fires,>200 ha,16.05697465,14.51906906,17.59488023
¡İ6 Fires,0¡ª50 ha,-2.144090686,-2.43673103,-1.851450342,¡İ6 Fires,0¡ª50 ha,3.831560972,3.085331684,4.57779026
¡İ6 Fires,50¡ª100 ha,-0.539964181,-0.782558672,-0.297369689,¡İ6 Fires,50¡ª100 ha,4.055440512,3.389881983,4.720999041
¡İ6 Fires,100¡ª20 ha,0.316343038,0.196147995,0.436538081,¡İ6 Fires,100¡ª20 ha,3.389458906,3.177767406,3.601150406
¡İ6 Fires,>200 ha,-0.144855911,-0.304255938,0.014544116,¡İ6 Fires,>200 ha,3.590844893,3.261822764,3.919867022
