Class,Time,Mean,CI_Lower,CI_Upper
NF,pre-1,-0.568505861,-0.676718307,-0.460293415
BF,pre-1,-0.594526956,-0.66596412,-0.523089792
MF,pre-1,-0.847132401,-0.959471229,-0.734793573
Shurb,pre-1,0.112009263,-0.567562627,0.791581154
Sav,pre-1,-0.584908705,-0.606766112,-0.563051298
Grass,pre-1,-0.370187604,-0.396931681,-0.343443527
NF,post-1,-7.560921152,-7.760659395,-7.361182909
BF,post-1,-2.081027556,-2.204248883,-1.957806229
MF,post-1,-4.47617679,-4.674061308,-4.278292272
Shurb,post-1,-4.276009646,-5.587056884,-2.964962408
Sav,post-1,-3.006074893,-3.044011949,-2.968137837
Grass,post-1,-2.097216569,-2.144661783,-2.049771355
NF,post-3,-9.71741156,-10.00499389,-9.429829231
BF,post-3,-2.915003294,-3.111210213,-2.718796375
MF,post-3,-6.485079132,-6.790335269,-6.179822995
Shurb,post-3,-11.80443394,-13.9015335,-9.70733438
Sav,post-3,-4.243047639,-4.299386951,-4.186708327
Grass,post-3,-4.183373434,-4.257031849,-4.109715019
NF,post-5,-10.83943688,-11.1890972,-10.48977656
BF,post-5,-3.100630486,-3.349422961,-2.851838011
MF,post-5,-7.328455674,-7.71118234,-6.945729008
Shurb,post-5,-17.13895173,-20.22194667,-14.05595679
Sav,post-5,-4.809357757,-4.87821151,-4.740504004
Grass,post-5,-7.185549853,-7.277002414,-7.094097292
